TAG,Time,Value
I,10901,39189
B,10903,129
R,10905,23616
B,10908,70
I,10910,39043
B,10912,304
R,10915,23976
B,10917,186
I,10920,39072
B,10922,132
R,10924,23622
B,10927,96
I,10929,39273
B,10931,315
R,10934,23867
B,10936,82
I,10939,38964
B,10941,119
R,10943,23713
B,10946,233
I,10948,39303
B,10950,251
R,10953,23774
B,10955,76
I,10957,38956
B,10960,139
R,10962,23907
B,10965,267
I,10967,39212
B,10969,144
R,10972,23620
B,10974,74
I,10976,39080
B,10979,284
R,10981,23998
B,10984,195
I,10986,39146
B,10988,124
R,10991,23631
B,10993,83
I,10995,39210
B,10998,331
R,11000,23916
B,11002,99
I,11005,38929
B,11007,123
R,11010,23743
B,11012,204
I,11014,39339
B,11017,255
R,11019,23798
B,11021,76
I,11024,38926
B,11026,132
R,11028,23841
B,11031,259
I,11033,39231
B,11036,167
R,11038,23613
B,11040,75
I,11043,38984
B,11045,252
R,11047,23965
B,11050,206
I,11052,39096
B,11055,129
R,11057,23547
B,11059,66
I,11062,39130
B,11064,337
R,11066,23873
B,11069,114
I,11071,38927
B,11073,130
R,11076,23643
B,11078,192
I,11081,39285
B,11083,273
R,11085,23774
B,11088,75
I,11090,38810
B,11092,126
R,11095,23795
B,11097,268
I,11100,39147
B,11102,183
R,11104,23613
B,11107,74
I,11109,38925
B,11111,238
R,11114,23921
B,11116,222
I,11118,39117
B,11121,129
R,11123,23601
B,11126,73
I,11128,39120
B,11130,323
R,11133,23915
B,11135,134
I,11137,38917
B,11140,124
R,11142,23635
B,11145,167
I,11147,39220
B,11149,279
R,11152,23760
B,11154,70
I,11156,38862
B,11159,125
R,11161,23791
B,11163,269
I,11166,39219
B,11168,200
R,11171,23710
B,11173,78
I,11175,38914
B,11178,213
R,11180,23975
B,11182,227
I,11185,39189
B,11187,139
R,11190,23600
B,11192,70
I,11194,39183
B,11197,324
R,11199,24008
B,11201,155
I,11204,39143
B,11206,132
R,11208,23665
B,11211,144
I,11213,39407
B,11216,302
R,11218,23928
B,11220,71
I,11223,39041
B,11225,123
R,11227,23877
B,11230,266
I,11232,39394
B,11234,221
R,11237,23828
B,11239,74
I,11242,39099
B,11244,181
R,11246,24040
B,11249,240
I,11251,39376
B,11253,132
R,11256,23739
B,11258,72
I,11261,39256
B,11263,312
R,11265,24051
B,11268,170
I,11270,39240
B,11272,134
R,11275,23758
B,11277,120
I,11279,39454
B,11282,301
R,11284,24002
B,11287,74
I,11289,39103
B,11291,121
R,11294,23866
B,11296,247
I,11298,39532
B,11301,238
R,11303,23875
B,11306,74
I,11308,39181
B,11310,163
R,11313,24073
B,11315,249
I,11317,39428
B,11320,137
R,11322,23741
B,11324,72
I,11327,39271
B,11329,296
R,11332,24080
B,11334,187
I,11336,39340
B,11339,138
R,11341,23751
B,11343,95
I,11346,39463
B,11348,311
R,11351,24041
B,11353,80
I,11355,39180
B,11358,125
R,11360,23867
B,11362,232
I,11365,39522
B,11367,246
R,11369,23974
B,11372,75
I,11374,39132
B,11377,151
R,11379,24034
B,11381,260
I,11384,39463
B,11386,145
R,11388,23797
B,11391,75
I,11393,39281
B,11395,276
R,11398,24102
B,11400,198
I,11403,39363
B,11405,134
R,11407,23813
B,11410,89
I,11412,39503
B,11414,320
R,11417,24064
B,11419,100
I,11422,39255
B,11424,127
R,11426,23875
B,11429,213
I,11431,39609
B,11433,255
R,11436,23975
B,11438,76
I,11440,39230
B,11443,139
R,11445,24038
B,11448,271
I,11450,39509
B,11452,159
R,11455,23882
B,11457,77
I,11459,39291
B,11462,266
R,11464,24171
B,11467,209
I,11469,39451
B,11471,133
R,11474,23831
B,11476,79
I,11478,39494
B,11481,333
R,11483,24059
B,11485,111
I,11488,39312
B,11490,130
R,11493,23896
B,11495,196
I,11497,39663
B,11500,269
R,11502,23994
B,11504,73
I,11507,39288
B,11509,123
R,11511,24078
B,11514,267
I,11516,39627
B,11519,180
R,11521,23868
B,11523,72
I,11526,39314
B,11528,249
R,11530,24155
B,11533,218
I,11535,39469
B,11538,133
R,11540,23799
B,11542,70
I,11545,39520
B,11547,340
R,11549,24106
B,11552,129
I,11554,39367
B,11556,126
R,11559,23863
B,11561,171
I,11564,39657
B,11566,278
R,11568,24029
B,11571,70
I,11573,39275
B,11575,123
R,11578,24024
B,11580,268
I,11583,39581
B,11585,196
R,11587,23945
B,11590,75
I,11592,39332
B,11594,229
R,11597,24176
B,11599,222
I,11601,39541
B,11604,124
R,11606,23835
B,11609,69
I,11611,39498
B,11613,322
R,11616,24182
B,11618,149
I,11620,39381
B,11623,127
R,11625,23885
B,11627,146
I,11630,39682
B,11632,296
R,11635,24064
B,11637,73
I,11639,39298
B,11642,119
R,11644,24015
B,11646,261
I,11649,39668
B,11651,217
R,11654,23972
B,11656,77
I,11658,39378
B,11661,189
R,11663,24175
B,11665,240
I,11668,39626
B,11670,128
R,11672,23829
B,11675,71
I,11677,39507
B,11680,320
R,11682,24190
B,11684,169
I,11687,39501
B,11689,126
R,11691,23841
B,11694,123
I,11696,39703
B,11699,312
R,11701,24113
B,11703,69
I,11706,39343
B,11708,125
R,11710,24016
B,11713,248
I,11715,39740
B,11717,237
R,11720,23949
B,11722,73
I,11725,39436
B,11727,170
R,11729,24191
B,11732,248
I,11734,39686
B,11736,133
R,11739,23856
B,11741,77
I,11743,39542
B,11746,299
R,11748,24223
B,11751,184
I,11753,39542
B,11755,136
R,11758,23902
B,11760,103
I,11762,39746
B,11765,324
R,11767,24184
B,11770,84
I,11772,39404
B,11774,128
R,11777,24006
B,11779,243
I,11781,39808
B,11784,241
R,11786,24023
B,11789,74
I,11791,39395
B,11793,154
R,11796,24198
B,11798,253
I,11800,39732
B,11803,145
R,11805,23895
B,11807,75
I,11810,39520
B,11812,282
R,11815,24191
B,11817,199
I,11819,39599
B,11822,134
R,11824,23868
B,11826,86
I,11829,39721
B,11831,327
R,11833,24186
B,11836,94
I,11838,39446
B,11841,124
R,11843,23990
B,11845,215
I,11848,39809
B,11850,256
R,11852,24088
B,11855,76
I,11857,39442
B,11860,139
R,11862,24141
B,11864,270
I,11867,39735
B,11869,160
R,11871,23903
B,11874,76
I,11876,39487
B,11878,264
R,11881,24230
B,11883,208
I,11886,39606
B,11888,130
R,11890,23878
B,11893,78
I,11895,39691
B,11897,337
R,11900,24162
B,11902,107
I,11905,39401
B,11907,127
R,11909,23910
B,11912,205
I,11914,39722
B,11916,270
R,11919,24075
B,11921,76
I,11923,39386
B,11926,125
R,11928,24085
B,11931,278
I,11933,39678
B,11935,178
R,11938,23915
B,11940,86
I,11942,39404
B,11945,254
R,11947,24180
B,11950,225
I,11952,39530
B,11954,127
R,11957,23831
B,11959,71
I,11961,39631
B,11964,336
R,11966,24136
B,11968,122
I,11971,39444
B,11973,128
R,11976,23926
B,11978,189
I,11980,39767
B,11983,277
R,11985,24095
B,11987,73
I,11990,39387
B,11992,123
R,11994,24140
B,11997,277
I,11999,39776
B,12002,190
R,12004,23952
B,12006,73
I,12009,39467
B,12011,230
R,12013,24260
B,12016,229
I,12018,39690
B,12021,132
R,12023,23902
B,12025,67
I,12028,39649
B,12030,338
R,12032,24252
B,12035,142
I,12037,39504
B,12039,129
R,12042,23939
B,12044,163
I,12047,39854
B,12049,285
R,12051,24117
B,12054,77
I,12056,39395
B,12058,120
R,12061,24056
B,12063,280
I,12066,39792
B,12068,209
R,12070,24030
B,12073,75
I,12075,39470
B,12077,205
R,12080,24270
B,12082,229
I,12084,39677
B,12087,120
R,12089,23916
B,12092,70
I,12094,39641
B,12096,330
R,12099,24241
B,12101,160
I,12103,39594
B,12106,126
R,12108,23955
B,12111,137
I,12113,39848
B,12115,295
R,12118,24250
B,12120,72
I,12122,39429
B,12125,121
R,12127,24101
B,12129,269
I,12132,39873
B,12134,221
R,12137,24021
B,12139,75
I,12141,39506
B,12144,184
R,12146,24274
B,12148,249
I,12151,39786
B,12153,125
R,12156,23956
B,12158,73
I,12160,39657
B,12163,324
R,12165,24267
B,12167,178
I,12170,39647
B,12172,125
R,12174,23976
B,12177,121
I,12179,39899
B,12182,322
R,12184,24251
B,12186,72
I,12189,39495
B,12191,133
R,12193,24065
B,12196,255
I,12198,39901
B,12201,244
R,12203,24040
B,12205,73
I,12208,39447
B,12210,167
R,12212,24270
B,12215,257
I,12217,39812
