TAG,Value,Time
B,64968,159
R,64971,23847
B,64973,93
I,64975,36131
B,64978,141
R,64980,23787
B,64982,89
I,64985,36138
B,64987,159
R,64989,23802
B,64992,92
I,64994,36123
B,64997,137
R,64999,23839
B,65001,109
I,65004,36119
B,65006,146
R,65008,23791
B,65011,87
I,65013,36061
B,65016,149
R,65018,23799
B,65020,102
I,65023,36144
B,65025,144
R,65027,23809
B,65030,85
I,65032,36093
B,65034,155
R,65037,23795
B,65039,92
I,65042,36127
B,65044,142
R,65046,23798
B,65049,91
I,65051,36097
B,65053,159
R,65056,23856
B,65058,90
I,65060,36081
B,65063,140
R,65065,23785
B,65068,102
I,65070,36110
B,65072,147
R,65075,23792
B,65077,92
I,65079,36042
B,65082,142
R,65084,23813
B,65087,106
I,65089,36153
B,65091,146
R,65094,23779
B,65096,81
I,65098,36114
B,65101,158
R,65103,23805
B,65105,90
I,65108,36079
B,65110,141
R,65113,23809
B,65115,95
I,65117,36123
B,65120,155
R,65122,23816
B,65124,93
I,65127,36111
B,65129,138
R,65131,23832
B,65134,99
I,65136,36116
B,65139,147
R,65141,23801
B,65143,93
I,65146,36112
B,65148,140
R,65150,23806
B,65153,109
I,65155,36140
B,65158,148
R,65160,23805
B,65162,89
I,65165,36122
B,65167,161
R,65169,23802
B,65172,96
I,65174,36121
B,65176,146
R,65179,23777
B,65181,92
I,65184,36122
B,65186,162
R,65188,23840
B,65191,95
I,65193,36106
B,65195,138
R,65198,23803
B,65200,99
I,65202,36131
B,65205,146
R,65207,23820
B,65210,89
I,65212,36100
B,65214,144
R,65217,23832
B,65219,105
I,65221,36140
B,65224,145
R,65226,23809
B,65229,88
I,65231,36121
B,65233,156
R,65236,23816
B,65238,96
I,65240,36149
B,65243,145
R,65245,23791
B,65247,84
I,65250,36138
B,65252,168
R,65255,23830
B,65257,99
I,65259,36119
B,65262,142
R,65264,23785
B,65266,101
I,65269,36175
B,65271,158
R,65273,23825
B,65276,92
I,65278,36143
B,65281,139
R,65283,23830
B,65285,103
I,65288,36194
B,65290,146
R,65292,23811
B,65295,87
I,65297,36147
B,65300,149
R,65302,23842
B,65304,96
I,65307,36179
B,65309,144
R,65311,23784
B,65314,85
I,65316,36140
B,65318,159
R,65321,23808
B,65323,91
