TAG,Time,Value
R,31644,37761
B,31646,82
I,31649,57917
B,31651,169
R,31653,37753
B,31656,161
I,31658,58059
B,31660,180
R,31663,37746
B,31665,81
I,31668,57931
B,31670,199
R,31672,37807
B,31675,141
I,31677,58035
B,31679,167
R,31682,37659
B,31684,85
I,31687,57972
B,31689,230
R,31691,37829
B,31694,103
I,31696,57980
B,31698,165
R,31701,37669
B,31703,112
I,31705,58097
B,31708,228
R,31710,37766
B,31713,86
I,31715,57894
B,31717,157
R,31720,37785
B,31722,154
I,31724,58084
B,31727,176
R,31729,37762
B,31732,78
I,31734,57920
B,31736,199
R,31739,37832
B,31741,146
I,31743,58051
B,31746,156
R,31748,37705
B,31750,85
I,31753,57996
B,31755,233
R,31758,37861
B,31760,102
I,31762,58037
B,31765,163
R,31767,37717
B,31769,105
I,31772,58150
B,31774,232
R,31777,37779
B,31779,84
I,31781,57925
B,31784,158
R,31786,37764
B,31788,149
I,31791,58144
B,31793,190
R,31795,37775
B,31798,76
I,31800,57929
B,31803,184
R,31805,37810
B,31807,158
I,31810,58069
B,31812,166
R,31814,37701
B,31817,83
I,31819,57995
B,31822,226
R,31824,37844
B,31826,111
I,31829,58065
B,31831,163
R,31833,37710
B,31836,96
I,31838,58074
B,31840,235
R,31843,37780
B,31845,86
I,31848,57976
B,31850,157
R,31852,37717
B,31855,145
I,31857,58169
B,31859,191
R,31862,37783
B,31864,78
I,31866,57975
B,31869,175
R,31871,37813
B,31874,160
I,31876,58085
B,31878,172
R,31881,37740
B,31883,80
I,31885,58024
B,31888,227
R,31890,37823
B,31893,111
I,31895,58088
B,31897,163
R,31900,37696
B,31902,97
I,31904,58088
B,31907,233
R,31909,37808
B,31911,90
I,31914,57989
B,31916,160
R,31919,37752
B,31921,139
I,31923,58190
B,31926,202
R,31928,37774
B,31930,81
I,31933,57984
B,31935,172
R,31938,37801
B,31940,163
I,31942,58154
B,31945,168
R,31947,37740
B,31949,76
I,31952,58001
B,31954,215
R,31956,37901
B,31959,120
I,31961,58152
B,31964,164
R,31966,37699
B,31968,89
I,31971,58129
B,31973,247
R,31975,37853
B,31978,93
I,31980,58034
B,31983,154
R,31985,37739
B,31987,131
I,31990,58204
B,31992,208
R,31994,37820
B,31997,82
I,31999,58021
B,32001,166
R,32004,37814
B,32006,166
I,32009,58179
B,32011,175
R,32013,37750
B,32016,80
I,32018,58036
B,32020,208
R,32023,37888
B,32025,128
I,32027,58190
B,32030,163
R,32032,37688
B,32035,84
I,32037,58092
B,32039,231
R,32042,37865
B,32044,94
I,32046,58076
B,32049,162
R,32051,37774
B,32054,123
I,32056,58261
B,32058,221
R,32061,37806
B,32063,82
I,32065,58045
B,32068,164
R,32070,37812
B,32072,160
I,32075,58220
B,32077,174
R,32080,37772
B,32082,83
I,32084,58078
B,32087,198
R,32089,37870
B,32091,140
I,32094,58140
B,32096,168
R,32099,37739
B,32101,79
I,32103,58112
B,32106,240
R,32108,37855
B,32110,100
I,32113,58177
B,32115,160
R,32117,37764
B,32120,115
I,32122,58247
B,32125,229
R,32127,37812
B,32129,82
I,32132,58053
B,32134,164
R,32136,37791
B,32139,153
I,32141,58266
B,32144,184
R,32146,37780
B,32148,86
I,32151,58077
B,32153,192
R,32155,37839
B,32158,141
I,32160,58211
B,32162,164
R,32165,37683
B,32167,78
I,32170,58107
B,32172,231
R,32174,37860
B,32177,97
I,32179,58095
B,32181,165
R,32184,37769
B,32186,108
I,32188,58261
B,32191,230
R,32193,37835
B,32196,87
I,32198,58081
B,32200,159
R,32203,37791
B,32205,157
I,32207,58263
B,32210,182
R,32212,37804
B,32215,79
I,32217,58063
B,32219,184
R,32222,37870
B,32224,153
I,32226,58239
B,32229,168
R,32231,37723
B,32233,82
I,32236,58158
B,32238,233
R,32241,37859
B,32243,108
I,32245,58220
B,32248,161
R,32250,37760
B,32252,101
I,32255,58263
B,32257,242
R,32260,37855
B,32262,91
I,32264,58113
B,32267,161
R,32269,37723
B,32271,147
I,32274,58329
B,32276,196
R,32278,37811
B,32281,77
I,32283,58116
B,32286,177
R,32288,37861
B,32290,160
I,32293,58219
B,32295,171
R,32297,37788
B,32300,78
I,32302,58155
B,32305,225
R,32307,37876
B,32309,111
I,32312,58204
B,32314,161
R,32316,37759
B,32319,94
I,32321,58228
B,32323,238
R,32326,37838
B,32328,92
I,32331,58118
B,32333,166
R,32335,37779
B,32338,147
I,32340,58343
B,32342,197
R,32345,37870
B,32347,76
I,32349,58113
B,32352,174
R,32354,37847
