,TAG,Value,Time
586,B,0,904
587,I,55168,905
588,B,0,906
589,R,55820,907
590,B,0,908
591,I,55193,909
592,B,0,910
593,R,55875,910
594,B,0,911
595,I,55139,912
596,B,0,913
597,R,55814,914
598,B,0,915
599,I,55164,915
600,B,0,916
601,R,55833,917
602,B,0,918
603,I,55152,919
604,B,0,920
605,R,55852,921
606,B,0,922
607,I,55104,922
608,B,0,923
609,R,55817,924
610,B,0,925
611,I,55081,926
612,B,0,927
613,R,55731,927
614,B,0,928
615,I,55174,929
616,B,0,930
617,R,55782,931
618,B,0,932
619,I,55049,933
620,B,0,934
621,R,55760,934
622,B,0,935
623,I,55001,936
624,B,0,937
625,R,55740,938
626,B,0,939
627,I,54963,939
628,B,0,940
629,R,55760,941
630,B,0,942
631,I,54998,943
632,B,0,944
633,R,55728,945
634,B,0,946
635,I,54905,946
636,B,0,947
637,R,55712,948
638,B,0,949
639,I,54896,950
640,B,0,951
641,R,55670,951
642,B,0,952
643,I,54908,953
644,B,0,954
645,R,55683,955
646,B,0,956
647,I,54851,957
648,B,0,958
649,R,55657,958
650,B,0,959
651,I,54825,960
652,B,0,961
653,R,55622,962
654,B,0,963
655,I,54848,963
656,B,0,964
657,R,55676,965
658,B,0,966
659,I,54816,967
660,B,0,968
661,R,55590,969
662,B,0,970
663,I,54790,970
664,B,0,971
665,R,55612,972
666,B,0,973
667,I,54780,974
668,B,0,975
669,R,55625,975
670,B,0,976
671,I,54793,977
672,B,0,978
673,R,55568,979
674,B,0,980
675,I,54668,981
676,B,0,982
677,R,55590,982
678,B,0,983
679,I,54720,984
680,B,0,985
681,R,55609,986
682,B,0,987
683,I,54723,987
684,B,0,988
685,R,55500,989
686,B,0,990
687,I,54700,991
688,B,0,992
689,R,55593,993
690,B,0,994
691,I,54668,994
692,B,0,995
693,R,55635,996
694,B,0,997
695,I,54694,998
696,B,0,999
697,R,55600,999
698,B,0,1000
699,I,54704,1001
700,B,0,1002
701,R,55590,1003
702,B,0,1004
703,I,54684,1005
704,B,0,1006
705,R,55552,1007
706,B,0,1008
707,I,54675,1009
708,B,0,1010
709,R,55536,1011
710,B,0,1012
711,I,54646,1013
712,B,0,1014
713,R,55545,1014
714,B,0,1016
715,I,54665,1016
716,B,0,1017
717,R,55596,1018
718,B,0,1019
719,I,54611,1020
720,B,0,1021
721,R,55622,1022
722,B,0,1023
723,I,54681,1024
724,B,0,1025
725,R,55609,1026
726,B,0,1027
727,I,54684,1028
728,B,0,1029
729,R,55596,1029
730,B,0,1031
731,I,54617,1031
732,B,0,1032
733,R,55593,1033
734,B,0,1034
735,I,54691,1035
736,B,0,1036
737,R,55606,1037
738,B,0,1038
739,I,54691,1039
740,B,0,1040
741,R,55561,1041
742,B,0,1042
743,I,54694,1043
744,B,0,1044
745,R,55609,1045
746,B,0,1046
747,I,54745,1046
748,B,0,1048
749,R,55564,1048
750,B,0,1049
751,I,54771,1050
752,B,0,1051
753,R,55590,1052
754,B,0,1053
755,I,54710,1054
756,B,0,1055
757,R,55638,1056
758,B,0,1057
759,I,54806,1058
760,B,0,1059
761,R,55580,1060
762,B,0,1061
763,I,54700,1062
764,B,0,1063
765,R,55651,1063
766,B,0,1065
767,I,54672,1065
768,B,0,1066
769,R,55587,1067
770,B,0,1068
771,I,54659,1069
772,B,0,1070
773,R,55619,1071
774,B,0,1072
775,I,54780,1073
776,B,0,1074
777,R,55625,1075
778,B,0,1076
779,I,54697,1077
780,B,0,1078
781,R,55648,1079
782,B,0,1080
783,I,54697,1080
784,B,0,1082
785,R,55548,1082
786,B,0,1083
787,I,54729,1084
788,B,0,1085
789,R,55580,1086
790,B,0,1087
791,I,54707,1088
792,B,0,1089
793,R,55590,1090
794,B,0,1091
795,I,54761,1092
796,B,0,1093
797,R,55616,1094
798,B,0,1095
799,I,54694,1095
800,B,0,1097
801,R,55622,1097
802,B,0,1098
803,I,54710,1099
804,B,0,1100
805,R,55516,1101
806,B,0,1102
807,I,54662,1103
808,B,0,1104
809,R,55625,1105
810,B,0,1106
811,I,54646,1107
812,B,0,1108
813,R,55619,1109
814,B,0,1110
815,I,54713,1111
816,B,0,1112
817,R,55651,1112
818,B,0,1114
819,I,54688,1114
820,B,0,1115
821,R,55584,1116
822,B,0,1117
823,I,54710,1118
824,B,0,1119
825,R,55574,1120
826,B,0,1121
827,I,54729,1122
828,B,0,1123
829,R,55625,1124
830,B,0,1125
831,I,54697,1126
832,B,0,1127
833,R,55641,1128
834,B,0,1129
835,I,54710,1129
836,B,0,1131
837,R,55644,1131
838,B,0,1132
839,I,54694,1133
840,B,0,1134
841,R,55622,1135
842,B,0,1136
843,I,54828,1137
844,B,0,1138
845,R,55622,1139
846,B,0,1140
847,I,54761,1141
848,B,0,1142
849,R,55593,1143
850,B,0,1144
851,I,54758,1145
852,B,0,1146
853,R,55635,1146
854,B,0,1148
855,I,54736,1148
856,B,0,1149
857,R,55692,1150
858,B,0,1151
859,I,54755,1152
860,B,0,1153
861,R,55721,1154
862,B,0,1155
863,I,54796,1156
864,B,0,1157
865,R,55667,1158
866,B,0,1159
867,I,54675,1160
868,B,0,1161
869,R,55632,1161
870,B,0,1163
871,I,54768,1163
872,B,0,1164
873,R,55619,1165
874,B,0,1166
875,I,54812,1167
876,B,0,1168
877,R,55603,1169
878,B,0,1170
879,I,54771,1171
880,B,0,1172
881,R,55625,1173
882,B,0,1174
883,I,54774,1175
884,B,0,1176
885,R,55644,1177
886,B,0,1178
887,I,54752,1178
888,B,0,1180
889,R,55660,1180
890,B,0,1181
891,I,54774,1182
892,B,0,1183
893,R,55622,1184
894,B,0,1185
895,I,54809,1186
896,B,0,1187
897,R,55673,1188
898,B,0,1189
899,I,54793,1190
900,B,0,1191
901,R,55651,1192
902,B,0,1193
903,I,54761,1194
904,B,0,1195
905,R,55664,1195
906,B,0,1197
907,I,54777,1197
908,B,0,1198
909,R,55676,1199
910,B,0,1200
911,I,54832,1201
912,B,0,1202
913,R,55724,1203
914,B,0,1204
915,I,54777,1205
916,B,0,1206
917,R,55657,1207
918,B,0,1208
919,I,54803,1209
920,B,0,1210
921,R,55651,1211
922,B,0,1212
923,I,54774,1212
924,B,0,1214
925,R,55625,1214
926,B,0,1215
927,I,54835,1216
928,B,0,1217
929,R,55676,1218
930,B,0,1219
931,I,54809,1220
932,B,0,1221
933,R,55702,1222
934,B,0,1223
935,I,54777,1224
936,B,0,1225
937,R,55683,1226
938,B,0,1227
939,I,54755,1227
940,B,0,1229
941,R,55670,1229
942,B,0,1230
943,I,54800,1231
944,B,0,1232
945,R,55705,1233
946,B,0,1234
947,I,54812,1235
948,B,0,1236
949,R,55715,1237
950,B,0,1238
951,I,54790,1239
952,B,0,1240
953,R,55715,1241
954,B,0,1242
955,I,54771,1243
956,B,0,1244
957,R,55702,1244
958,B,0,1246
959,I,54832,1246
960,B,0,1247
961,R,55660,1248
962,B,0,1249
963,I,54870,1250
964,B,0,1251
965,R,55737,1252
966,B,0,1253
967,I,54873,1254
968,B,0,1255
969,R,55760,1256
970,B,0,1257
