TAG,Time,Value
R,61686,23380
B,61688,71
I,61691,35664
B,61693,304
R,61695,23682
B,61698,116
I,61700,35498
B,61703,127
R,61705,23443
B,61707,153
I,61710,35846
B,61712,248
R,61714,23592
B,61717,75
I,61719,35425
B,61721,120
R,61724,23572
B,61726,259
I,61729,35727
B,61731,168
R,61733,23446
B,61736,80
I,61738,35439
B,61740,192
R,61743,23702
B,61745,209
I,61748,35603
B,61750,125
R,61752,23327
B,61755,78
I,61757,35586
B,61759,306
R,61762,23640
B,61764,130
I,61766,35422
B,61769,121
R,61771,23348
B,61774,132
I,61776,35773
B,61778,259
R,61781,23581
B,61783,78
I,61785,35354
B,61788,119
R,61790,23520
B,61793,252
I,61795,35791
B,61797,192
R,61800,23449
B,61802,76
I,61804,35403
B,61807,168
R,61809,23695
B,61811,216
I,61814,35645
B,61816,121
R,61819,23353
B,61821,71
I,61823,35522
B,61826,294
R,61828,23661
B,61830,150
I,61833,35462
B,61835,123
R,61838,23348
B,61840,106
I,61842,35687
B,61845,272
R,61847,23545
B,61849,74
I,61852,35350
B,61854,128
R,61856,23451
B,61859,241
I,61861,35695
B,61864,206
R,61866,23393
B,61868,77
I,61871,35346
B,61873,154
R,61875,23643
B,61878,233
I,61880,35581
B,61883,124
R,61885,23328
B,61887,77
I,61890,35472
B,61892,283
R,61894,23625
B,61897,168
I,61899,35499
B,61901,121
R,61904,23307
B,61906,98
I,61909,35680
B,61911,283
R,61913,23615
B,61916,77
I,61918,35345
B,61920,120
R,61923,23468
B,61925,220
I,61927,35746
B,61930,219
R,61932,23467
B,61935,74
I,61937,35409
B,61939,146
R,61942,23613
B,61944,247
I,61946,35682
B,61949,135
R,61951,23336
B,61954,75
I,61956,35526
B,61958,267
R,61961,23725
B,61963,172
I,61965,35597
B,61968,118
R,61970,23340
B,61972,84
I,61975,35716
B,61977,299
R,61980,23669
B,61982,85
I,61984,35435
B,61987,121
R,61989,23459
B,61991,203
I,61994,35796
B,61996,232
R,61999,23528
B,62001,75
I,62003,35410
B,62006,120
R,62008,23589
B,62010,252
I,62013,35741
B,62015,149
R,62017,23359
B,62020,73
I,62022,35486
B,62025,241
R,62027,23694
B,62029,185
I,62032,35633
B,62034,131
R,62036,23310
B,62039,75
I,62041,35714
B,62043,311
R,62046,23637
B,62048,100
I,62051,35498
B,62053,123
R,62055,23440
B,62058,180
I,62060,35811
B,62062,248
R,62065,23544
B,62067,81
I,62070,35404
B,62072,121
R,62074,23595
B,62077,253
I,62079,35727
B,62081,157
R,62084,23387
B,62086,76
I,62088,35503
B,62091,221
R,62093,23711
B,62096,195
I,62098,35646
B,62100,128
R,62103,23340
B,62105,74
I,62107,35626
B,62110,315
R,62112,23641
B,62115,114
I,62117,35491
B,62119,120
R,62122,23404
B,62124,165
I,62126,35836
B,62129,254
R,62131,23573
B,62134,76
I,62136,35394
B,62138,120
R,62141,23528
B,62143,261
I,62145,35747
B,62148,182
R,62150,23444
B,62152,76
I,62155,35477
B,62157,201
R,62160,23648
B,62162,208
I,62164,35658
B,62167,127
R,62169,23332
B,62171,71
I,62174,35614
B,62176,305
R,62178,23639
B,62181,131
I,62183,35491
B,62186,125
R,62188,23328
B,62190,136
I,62193,35754
B,62195,266
R,62197,23546
B,62200,71
I,62202,35350
B,62205,123
R,62207,23452
B,62209,256
I,62212,35751
B,62214,186
R,62216,23371
B,62219,73
I,62221,35422
B,62223,170
R,62226,23659
B,62228,216
I,62231,35659
B,62233,126
R,62235,23306
B,62238,72
I,62240,35605
B,62242,301
R,62245,23652
B,62247,143
I,62249,35566
B,62252,120
R,62254,23319
B,62257,116
I,62259,35815
B,62261,273
R,62264,23624
B,62266,76
I,62268,35398
B,62271,121
