TAG,Time,Value
R,26504,92
B,26506,53318
I,26508,163
B,26511,33565
R,26513,108
I,26516,53393
B,26518,167
R,26520,33581
B,26523,92
I,26525,53266
B,26527,167
R,26530,33590
B,26532,106
I,26535,53331
B,26537,164
R,26539,33574
I,26542,87
B,26544,53249
R,26546,183
B,26549,33595
I,26551,93
B,26553,53269
R,26556,170
B,26558,33558
I,26561,89
B,26563,53296
R,26565,186
I,26568,33591
B,26570,91
R,26572,53271
B,26575,162
I,26577,33579
B,26579,106
R,26582,53360
B,26584,167
I,26587,33592
B,26589,94
R,26591,53282
I,26594,168
B,26596,33573
R,26598,108
B,26601,53321
I,26603,169
B,26606,33593
R,26608,87
B,26610,53294
I,26613,178
B,26615,33612
R,26617,91
I,26620,53325
B,26622,168
R,26624,33583
B,26627,100
I,26629,53402
B,26632,181
R,26634,33604
B,26636,93
I,26639,53321
B,26641,166
R,26643,33602
I,26646,108
B,26648,53352
R,26651,163
B,26653,33590
I,26655,94
B,26658,53318
R,26660,166
B,26662,33579
I,26665,106
B,26667,53371
R,26669,167
I,26672,33554
B,26674,87
R,26677,53322
B,26679,172
I,26681,33606
B,26684,89
R,26686,53350
B,26688,164
I,26691,33616
B,26693,91
R,26695,53332
I,26698,185
B,26700,33597
R,26703,93
B,26705,53367
I,26707,167
B,26710,33610
R,26712,102
B,26714,53433
I,26717,166
B,26719,33617
R,26722,94
I,26724,53394
B,26726,167
R,26729,33627
B,26731,110
I,26733,53460
B,26736,159
R,26738,33632
B,26740,86
I,26743,53405
B,26745,169
R,26748,33629
I,26750,95
B,26752,53411
R,26755,162
B,26757,33606
I,26759,91
B,26762,53439
R,26764,180
B,26767,33636
I,26769,91
B,26771,53411
R,26774,164
I,26776,33594
B,26778,100
R,26781,53492
B,26783,167
I,26785,33605
B,26788,96
R,26790,53411
B,26793,158
I,26795,33599
B,26797,107
R,26800,53450
I,26802,164
B,26804,33591
R,26807,91
B,26809,53389
I,26811,172
B,26814,33605
R,26816,96
B,26819,53412
I,26821,168
B,26823,33595
R,26826,88
I,26828,53422
B,26830,191
R,26833,33597
B,26835,92
I,26838,53413
B,26840,167
R,26842,33593
B,26845,93
I,26847,53443
B,26849,168
R,26852,33623
I,26854,89
B,26856,53432
R,26859,163
B,26861,33621
I,26864,111
B,26866,53488
R,26868,160
B,26871,33617
I,26873,89
B,26875,53435
R,26878,163
I,26880,33648
B,26883,100
R,26885,53474
B,26887,165
I,26890,33606
B,26892,90
R,26894,53403
B,26897,182
I,26899,33628
B,26901,89
R,26904,53423
I,26906,171
B,26909,33604
R,26911,93
B,26913,53431
I,26916,187
B,26918,33594
R,26920,89
B,26923,53405
I,26925,158
B,26927,33623
R,26930,109
I,26932,53496
B,26935,163
R,26937,33617
B,26939,92
I,26942,53465
B,26944,171
R,26946,33647
B,26949,102
I,26951,53500
B,26954,158
R,26956,33627
I,26958,87
B,26961,53456
R,26963,181
B,26965,33620
I,26968,91
B,26970,53438
R,26972,166
B,26975,33613
I,26977,90
B,26980,53489
R,26982,181
I,26984,33616
B,26987,91
R,26989,53453
B,26991,159
I,26994,33609
B,26996,101
R,26998,53510
B,27001,166
I,27003,33624
B,27006,93
R,27008,53411
I,27010,163
B,27013,33610
R,27015,108
B,27017,53486
I,27020,164
B,27022,33621
R,27025,86
B,27027,53472
I,27029,177
B,27032,33611
R,27034,91
I,27036,53492
B,27039,168
R,27041,33620
B,27043,92
I,27046,53511
B,27048,182
R,27051,33647
B,27053,92
I,27055,53503
B,27058,155
R,27060,33623
I,27062,105
B,27065,53612
R,27067,173
B,27069,33657
I,27072,89
B,27074,53476
R,27077,157
B,27079,33673
I,27081,106
B,27084,53562
R,27086,168
I,27088,33636
B,27091,86
R,27093,53478
B,27096,172
I,27098,33671
B,27100,92
R,27103,53478
B,27105,166
I,27107,33635
B,27110,89
R,27112,53496
I,27114,183
B,27117,33626
R,27119,93
B,27122,53503
I,27124,158
B,27126,33639
R,27129,103
B,27131,53593
I,27133,166
B,27136,33636
R,27138,90
I,27141,53515
B,27143,155
R,27145,33663
B,27148,107
I,27150,53557
B,27152,163
R,27155,33669
B,27157,91
I,27159,53490
B,27162,178
R,27164,33648
I,27167,96
B,27169,53503
R,27171,168
B,27174,33629
I,27176,88
B,27178,53492
R,27181,183
B,27183,33612
I,27186,90
B,27188,53461
R,27190,167
I,27193,33618
B,27195,97
R,27197,53436
B,27200,165
I,27202,33608
B,27204,91
R,27207,53363
B,27209,164
I,27212,33606
B,27214,111
R,27216,53421
I,27219,166
B,27221,33573
R,27223,90
B,27226,53338
I,27228,171
B,27230,33601
R,27233,96
B,27235,53294
I,27238,160
B,27240,33553
R,27242,93
I,27245,53267
B,27247,182
R,27249,33548
B,27252,92
I,27254,53266
B,27257,170
R,27259,33513
B,27261,96
I,27264,53301
B,27266,176
R,27268,33548
I,27271,90
B,27273,53256
R,27275,162
B,27278,33576
I,27280,107
B,27283,53335
R,27285,163
B,27287,33559
I,27290,96
B,27292,53274
R,27294,170
I,27297,33574
B,27299,108
R,27301,53317
B,27304,163
I,27306,33550
B,27309,89
R,27311,53290
B,27313,178
I,27316,33546
B,27318,87
R,27320,53268
I,27323,165
B,27325,33545
R,27328,95
B,27330,53304
I,27332,184
B,27335,33547
R,27337,90
B,27339,53257
I,27342,157
B,27344,33509
R,27346,103
I,27349,53320
B,27351,167
R,27354,33501
B,27356,91
I,27358,53263
B,27361,162
R,27363,33560
B,27365,99
I,27368,53262
B,27370,162
R,27372,33523
I,27375,86
B,27377,53245
R,27380,182
B,27382,33539
I,27384,92
B,27387,53265
R,27389,161
B,27391,33515
I,27394,92
B,27396,53315
R,27399,175
I,27401,33543
B,27403,92
R,27406,53292
B,27408,167
I,27410,33544
B,27413,105
R,27415,53369
B,27417,164
I,27420,33562
B,27422,93
R,27425,53274
I,27427,174
B,27429,33553
R,27432,104
B,27434,53352
I,27436,165
B,27439,33541
R,27441,90
B,27443,53286
I,27446,181
B,27448,33541
R,27451,94
I,27453,53290
B,27455,168
R,27458,33543
B,27460,93
I,27462,53330
B,27465,186
R,27467,33548
B,27470,94
I,27472,53315
B,27474,167
R,27477,33555
I,27479,102
B,27481,53375
R,27484,166
B,27486,33545
I,27488,92
B,27491,53310
R,27493,161
B,27496,33575
I,27498,105
B,27500,53383
R,27503,165
I,27505,33572
B,27507,85
R,27510,53331
B,27512,175
I,27515,33581
B,27517,94
R,27519,53332
B,27522,166
I,27524,33537
B,27526,90
R,27529,53345
I,27531,186
B,27533,33558
R,27536,93
B,27538,53310
I,27541,164
B,27543,33541
R,27545,105
B,27548,53356
I,27550,166
B,27552,33547
R,27555,93
I,27557,53297
B,27559,165
R,27562,33562
B,27564,111
I,27567,53382
B,27569,167
R,27571,33521
B,27574,87
I,27576,53277
B,27578,175
R,27581,33584
I,27583,96
B,27586,53298
R,27588,166
B,27590,33537
I,27593,86
B,27595,53345
R,27597,180
B,27600,33550
I,27602,96
B,27604,53349
R,27607,166
I,27609,33553
B,27612,98
R,27614,53375
B,27616,174
I,27619,33574
B,27621,89
R,27623,53351
B,27626,159
I,27628,33561
B,27630,113
R,27633,53413
I,27635,167
B,27638,33566
R,27640,89
B,27642,53327
I,27645,171
B,27647,33600
R,27649,98
B,27652,53357
I,27654,163
B,27657,33592
R,27659,88
I,27661,53371
B,27664,179
R,27666,33594
B,27668,90
I,27671,53354
B,27673,162
R,27675,33536
B,27678,93
I,27680,53420
B,27683,168
R,27685,33548
I,27687,91
B,27690,53353
R,27692,161
B,27694,33572
I,27697,108
B,27699,53420
R,27701,165
B,27704,33553
I,27706,95
B,27709,53325
R,27711,173
I,27713,33585
B,27716,100
R,27718,53422
B,27720,166
I,27723,33581
B,27725,89
R,27728,53394
B,27730,180
I,27732,33584
B,27735,91
R,27737,53416
I,27739,175
B,27742,33577
R,27744,93
B,27746,53418
I,27749,174
B,27751,33577
R,27754,91
B,27756,53406
I,27758,163
