TAG,Time,Value
B,10411,436
I,10413,40763
B,10416,525
R,10418,29638
B,10421,503
I,10423,40824
B,10425,510
R,10428,29583
B,10430,441
I,10432,40806
B,10435,557
R,10437,29637
B,10440,467
I,10442,40792
B,10444,502
R,10447,29546
B,10449,461
I,10451,40862
B,10454,571
R,10456,29593
B,10458,452
I,10461,40792
B,10463,493
R,10466,29612
B,10468,499
I,10470,40916
B,10473,518
R,10475,29581
B,10477,433
I,10480,40813
B,10482,510
R,10485,29645
B,10487,500
I,10489,40847
B,10492,499
R,10494,29578
B,10496,443
I,10499,40842
B,10501,552
R,10503,29693
B,10506,466
I,10508,40833
B,10511,491
R,10513,29555
B,10515,454
I,10518,40884
B,10520,563
R,10522,29605
B,10525,449
I,10527,40829
B,10530,490
R,10532,29566
B,10534,488
I,10537,40882
B,10539,526
R,10541,29613
B,10544,432
I,10546,40801
B,10548,510
R,10551,29600
B,10553,509
I,10556,40877
B,10558,504
R,10560,29581
B,10563,433
I,10565,40811
B,10567,541
R,10570,29642
B,10572,471
I,10575,40853
B,10577,488
R,10579,29555
B,10582,444
I,10584,40890
B,10586,564
R,10589,29621
B,10591,448
I,10593,40840
B,10596,493
R,10598,29568
B,10601,474
I,10603,40922
B,10605,537
R,10608,29580
B,10610,434
I,10612,40839
B,10615,501
R,10617,29627
B,10620,501
I,10622,40902
B,10624,512
R,10627,29573
B,10629,428
I,10631,40845
B,10634,530
R,10636,29666
B,10639,469
I,10641,40864
B,10643,490
R,10646,29568
B,10648,439
I,10650,40923
B,10653,554
R,10655,29612
B,10657,445
I,10660,40879
B,10662,491
R,10665,29572
B,10667,468
I,10669,40922
B,10672,534
R,10674,29620
B,10676,431
I,10679,40863
B,10681,497
R,10684,29611
B,10686,502
I,10688,40918
B,10691,501
R,10693,29581
B,10695,428
I,10698,40925
B,10700,525
R,10702,29664
B,10705,477
I,10707,40907
B,10710,491
R,10712,29556
B,10714,437
I,10717,40931
B,10719,562
R,10721,29627
B,10724,449
I,10726,40883
B,10729,481
R,10731,29548
B,10733,467
I,10736,40967
B,10738,538
R,10740,29593
B,10743,437
I,10745,40853
B,10748,497
R,10750,29631
B,10752,489
I,10755,40942
B,10757,506
R,10759,29593
B,10762,428
I,10764,40868
B,10766,523
R,10769,29652
B,10771,486
I,10774,40931
B,10776,497
R,10778,29557
B,10781,425
I,10783,40947
B,10785,548
R,10788,29666
B,10790,451
I,10793,40896
B,10795,482
R,10797,29571
B,10800,459
I,10802,41009
B,10804,550
R,10807,29608
B,10809,434
I,10811,40913
B,10814,477
R,10816,29624
B,10819,496
I,10821,41011
B,10823,503
R,10826,29590
B,10828,428
I,10830,40914
B,10833,516
R,10835,29674
B,10838,512
I,10840,41041
B,10842,483
R,10845,29474
B,10847,375
I,10849,40862
B,10852,471
R,10854,29437
B,10856,339
I,10859,40789
B,10861,382
R,10864,29351
B,10866,336
I,10868,40892
B,10871,434
R,10873,29344
B,10875,311
I,10878,40786
B,10880,332
R,10883,29248
B,10885,311
I,10887,40813
B,10890,325
R,10892,29199
B,10894,231
I,10897,40737
B,10899,311
R,10901,29238
B,10904,291
I,10906,40754
B,10909,294
R,10911,29130
B,10913,214
I,10916,40740
B,10918,338
R,10920,29200
B,10923,243
I,10925,40729
B,10928,274
R,10930,29090
B,10932,233
I,10935,40785
B,10937,336
R,10939,29128
B,10942,223
I,10944,40705
B,10946,274
R,10949,29179
B,10951,273
I,10954,40810
B,10956,315
R,10958,29171
B,10961,229
I,10963,40721
B,10965,299
R,10968,29252
B,10970,297
I,10973,40764
B,10975,300
R,10977,29212
B,10980,228
I,10982,40754
B,10984,345
R,10987,29252
B,10989,258
I,10992,40747
B,10994,285
R,10996,29137
B,10999,242
I,11001,40826
B,11003,364
R,11006,29283
B,11008,250
I,11010,40743
B,11013,302
R,11015,29252
B,11018,292
I,11020,40874
B,11022,342
R,11025,29252
B,11027,249
I,11029,40741
B,11032,324
R,11034,29296
B,11037,325
I,11039,40819
B,11041,327
R,11044,29245
B,11046,257
I,11048,40753
B,11051,368
R,11053,29311
B,11055,294
I,11058,40705
B,11060,316
R,11063,29229
B,11065,278
I,11067,40702
B,11070,397
R,11072,29258
B,11074,285
I,11077,40661
B,11079,322
R,11082,29217
B,11084,310
I,11086,40673
B,11089,367
R,11091,29218
B,11093,265
I,11096,40569
B,11098,326
R,11100,29181
B,11103,317
I,11105,40603
B,11108,329
R,11110,29125
B,11112,249
I,11115,40545
B,11117,346
R,11119,29236
B,11122,289
I,11124,40570
B,11127,302
R,11129,29063
B,11131,248
I,11134,40597
B,11136,368
R,11138,29156
B,11141,255
I,11143,40535
B,11146,289
