TAG,Time,Value
R,3714,24350
B,3717,343
I,3719,32931
B,3721,321
R,3724,24145
B,3726,273
I,3729,32973
B,3731,425
R,3733,24295
B,3736,301
I,3738,32905
B,3740,328
R,3743,24215
B,3745,318
I,3747,33054
B,3750,392
R,3752,24273
B,3755,277
I,3757,32889
B,3759,317
R,3762,24266
B,3764,374
I,3766,33039
B,3769,363
R,3771,24251
B,3773,277
I,3776,32937
B,3778,363
R,3780,24340
B,3783,346
I,3785,33019
B,3788,328
R,3790,24199
B,3792,274
I,3795,33013
B,3797,418
R,3799,24322
B,3802,320
I,3804,32946
B,3806,320
R,3809,24169
B,3811,298
I,3814,33054
B,3816,408
R,3818,24277
B,3821,279
I,3823,32885
B,3825,330
R,3828,24206
B,3830,356
I,3832,32995
B,3835,368
R,3837,24198
B,3839,278
I,3842,32833
B,3844,337
R,3847,24243
B,3849,362
I,3851,32891
B,3854,331
R,3856,24106
B,3858,272
I,3861,32817
B,3863,404
R,3865,24276
B,3868,322
I,3870,32837
B,3873,324
R,3875,24102
B,3877,282
I,3880,32913
B,3882,407
R,3884,24227
B,3887,288
I,3889,32746
B,3891,331
R,3894,24092
B,3896,349
I,3898,32923
B,3901,383
R,3903,24165
B,3906,279
I,3908,32749
B,3910,319
R,3913,24219
B,3915,365
I,3917,32832
B,3920,339
R,3922,24113
B,3924,272
I,3927,32778
B,3929,390
R,3932,24239
B,3934,329
I,3936,32817
B,3939,323
R,3941,24049
B,3943,278
I,3946,32858
B,3948,422
R,3950,24268
B,3953,292
I,3955,32756
B,3957,330
R,3960,24118
B,3962,334
I,3965,32915
B,3967,385
R,3969,24175
B,3972,275
I,3974,32707
B,3976,323
R,3979,24206
B,3981,368
I,3983,32869
B,3986,352
R,3988,24129
B,3991,275
I,3993,32741
B,3995,376
R,3998,24261
B,4000,348
I,4002,32818
B,4005,329
R,4007,24072
B,4009,272
I,4012,32830
B,4014,423
R,4016,24243
B,4019,320
I,4021,32739
B,4024,322
R,4026,24077
B,4028,315
I,4031,32844
B,4033,403
R,4035,24211
B,4038,272
I,4040,32708
B,4042,323
R,4045,24143
B,4047,363
I,4050,32873
B,4052,362
R,4054,24112
B,4057,274
I,4059,32721
B,4061,352
R,4064,24219
B,4066,352
I,4068,32824
B,4071,326
R,4073,24075
B,4076,276
I,4078,32785
B,4080,404
R,4083,24227
B,4085,314
I,4087,32815
B,4090,317
R,4092,24081
B,4094,291
I,4097,32881
B,4099,405
R,4101,24183
B,4104,281
I,4106,32743
B,4109,326
R,4111,24131
B,4113,355
I,4116,32866
B,4118,370
R,4120,24132
B,4123,273
I,4125,32718
B,4127,333
R,4130,24214
B,4132,362
I,4135,32825
B,4137,334
R,4139,24102
B,4142,270
I,4144,32755
B,4146,396
R,4149,24234
B,4151,326
I,4153,32813
B,4156,327
R,4158,24063
B,4160,281
I,4163,32853
B,4165,418
R,4168,24210
B,4170,292
I,4172,32717
B,4175,322
R,4177,24128
B,4179,338
I,4182,32897
B,4184,385
R,4186,24172
