TAG,Value,Time
I,44528,83368
B,4582,83370
R,47440,83373
B,32,83375
I,44544,83377
B,4576,83379
R,47366,83382
B,22,83384
I,44598,83386
B,4576,83388
R,47366,83391
B,16,83393
I,44694,83395
B,4499,83397
R,47308,83400
B,16,83402
I,44617,83404
B,4592,83406
R,47385,83409
B,9,83411
I,44611,83413
B,4579,83415
R,47312,83418
B,19,83420
I,44624,83422
B,4582,83424
R,47401,83427
B,19,83429
I,44630,83431
B,4604,83433
R,47427,83436
B,16,83438
I,44665,83440
B,4576,83442
R,47344,83445
B,19,83447
I,44640,83449
B,4563,83451
R,47366,83454
B,19,83456
I,44729,83458
B,4582,83460
R,47385,83463
B,19,83465
I,44675,83467
B,4595,83469
R,47420,83472
B,19,83474
I,44604,83476
B,4592,83478
R,47468,83481
B,16,83483
I,44630,83485
B,4560,83487
R,47452,83490
B,19,83492
I,44684,83494
B,4569,83496
R,47385,83499
B,22,83501
I,44649,83503
B,4588,83505
R,47369,83508
B,16,83510
I,44656,83512
B,4598,83514
R,47388,83517
B,22,83519
I,44668,83521
B,4614,83523
R,47414,83526
B,32,83528
I,44694,83530
B,4579,83532
R,47411,83535
B,12,83537
I,44784,83539
B,4608,83541
R,47392,83544
B,22,83546
I,44732,83548
B,4585,83550
R,47408,83553
B,16,83555
I,44755,83557
B,4595,83560
R,47456,83562
B,19,83564
I,44739,83566
B,4473,83569
R,47475,83571
B,19,83573
I,44752,83575
B,4259,83578
R,47436,83580
B,16,83582
I,44764,83584
B,4582,83587
R,47440,83589
B,16,83591
I,44835,83593
B,4588,83596
R,47507,83598
B,19,83600
I,44800,83602
B,4611,83605
R,47558,83607
B,22,83609
I,44768,83611
B,4585,83614
R,47564,83616
B,19,83618
I,44889,83620
B,4515,83623
R,47532,83625
B,0,83627
I,44889,83629
B,4598,83631
R,47523,83634
B,19,83636
I,44972,83638
B,4611,83640
R,47510,83643
B,19,83645
I,44931,83647
B,4595,83649
R,47504,83652
B,16,83654
I,45001,83656
B,4592,83658
R,47564,83661
B,12,83663
I,44969,83665
B,4604,83667
R,47542,83670
B,19,83672
I,44912,83674
B,4604,83677
R,47542,83679
B,16,83681
I,44956,83683
B,4486,83686
R,47568,83688
B,22,83690
I,44972,83692
B,4307,83695
R,47568,83697
B,19,83699
I,44969,83701
B,4601,83704
R,47641,83706
B,25,83708
I,45020,83710
B,4617,83713
R,47702,83715
B,12,83717
I,45011,83719
B,4595,83722
R,47699,83724
B,19,83726
I,45043,83728
B,4579,83731
R,47673,83733
B,6,83735
I,44985,83737
B,4608,83739
R,47641,83742
B,16,83744
I,45094,83746
B,4601,83748
R,47580,83751
B,12,83753
I,45142,83755
B,4592,83757
R,47587,83760
B,19,83762
I,45084,83764
B,4598,83766
R,47638,83769
B,19,83771
I,45123,83773
B,4620,83775
R,47731,83778
B,12,83780
I,45116,83782
B,4614,83784
R,47603,83787
B,22,83789
I,45056,83791
B,4576,83794
R,47555,83796
B,19,83798
I,45030,83800
B,4521,83803
