TAG,Time,Value
R,14250,24348
B,14252,307
I,14255,31777
B,14257,398
R,14259,24416
B,14262,347
I,14264,31811
B,14267,350
R,14269,24319
B,14271,296
I,14274,31824
B,14276,420
R,14278,24437
B,14281,330
I,14283,31768
B,14286,352
R,14288,24343
B,14290,339
I,14293,31854
B,14295,396
R,14297,24387
B,14300,298
I,14302,31758
B,14304,354
R,14307,24367
B,14309,376
I,14312,31880
B,14314,382
R,14316,24345
B,14319,306
I,14321,31769
B,14323,383
R,14326,24434
B,14328,356
I,14331,31826
B,14333,351
R,14335,24319
B,14338,301
I,14340,31859
B,14342,423
R,14345,24454
B,14347,330
I,14350,31819
B,14352,348
R,14354,24330
B,14357,327
I,14359,31921
B,14361,409
R,14364,24440
B,14366,302
I,14368,31780
B,14371,350
R,14373,24415
B,14376,375
I,14378,31895
B,14380,383
R,14383,24385
B,14385,303
I,14387,31846
B,14390,377
R,14392,24472
B,14395,365
I,14397,31908
B,14399,355
R,14402,24347
B,14404,301
I,14406,31875
B,14409,412
R,14411,24473
B,14413,336
I,14416,31885
B,14418,348
R,14421,24376
B,14423,321
I,14425,31973
B,14428,407
R,14430,24422
B,14432,307
I,14435,31870
B,14437,349
R,14440,24401
B,14442,371
I,14444,31969
B,14447,388
R,14449,24425
B,14451,301
I,14454,31898
B,14456,367
R,14458,24499
B,14461,366
I,14463,31923
B,14466,360
R,14468,24391
B,14470,300
I,14473,31904
B,14475,411
R,14477,24479
B,14480,336
I,14482,31937
B,14485,351
R,14487,24373
B,14489,311
I,14492,32015
B,14494,415
R,14496,24497
B,14499,307
I,14501,31908
B,14504,347
R,14506,24399
B,14508,361
I,14511,32009
B,14513,386
R,14515,24421
B,14518,302
I,14520,31892
B,14522,351
R,14525,24463
B,14527,370
I,14530,31990
B,14532,363
R,14534,24422
B,14537,302
I,14539,31953
B,14541,406
R,14544,24496
B,14546,337
I,14549,31968
B,14551,337
R,14553,24417
B,14556,306
I,14558,32032
B,14560,420
R,14563,24493
B,14565,316
I,14567,31935
B,14570,356
R,14572,24408
B,14575,358
I,14577,31988
B,14579,393
R,14582,24413
B,14584,299
I,14586,31880
B,14589,353
R,14591,24449
B,14594,373
I,14596,31920
B,14598,364
R,14601,24357
B,14603,300
I,14605,31838
B,14608,405
R,14610,24442
B,14613,345
I,14615,31823
B,14617,354
R,14620,24290
B,14622,303
I,14624,31818
B,14627,425
R,14629,24354
B,14631,317
I,14634,31702
B,14636,350
R,14639,24308
B,14641,348
I,14643,31786
B,14646,393
R,14648,24297
B,14650,303
I,14653,31632
B,14655,356
R,14658,24322
B,14660,377
I,14662,31696
B,14665,370
R,14667,24249
B,14669,303
I,14672,31650
B,14674,398
R,14676,24335
B,14679,346
I,14681,31693
B,14684,347
R,14686,24217
B,14688,302
I,14691,31701
B,14693,430
R,14695,24299
B,14698,324
I,14700,31620
B,14703,351
R,14705,24254
B,14707,344
I,14710,31745
B,14712,398
R,14714,24291
B,14717,304
I,14719,31619
B,14722,349
R,14724,24288
B,14726,376
I,14729,31729
B,14731,380
R,14733,24251
B,14736,302
I,14738,31648
B,14740,391
R,14743,24321
B,14745,360
I,14748,31698
B,14750,349
R,14752,24237
B,14755,300
I,14757,31725
B,14759,428
R,14762,24321
B,14764,335
I,14767,31671
B,14769,348
R,14771,24225
B,14774,339
I,14776,31755
B,14778,399
R,14781,24301
B,14783,302
I,14785,31634
B,14788,343
R,14790,24298
B,14793,376
I,14795,31731
B,14797,374
R,14800,24267
B,14802,299
I,14804,31627
B,14807,382
R,14809,24327
B,14812,362
I,14814,31725
B,14816,356
R,14819,24237
B,14821,302
I,14823,31706
B,14826,424
R,14828,24339
B,14830,336
I,14833,31679
B,14835,348
R,14838,24232
B,14840,331
I,14842,31729
B,14845,407
R,14847,24308
B,14849,305
I,14852,31656
B,14854,349
R,14857,24284
B,14859,367
I,14861,31733
B,14864,380
R,14866,24295
B,14868,306
I,14871,31634
B,14873,370
R,14875,24317
B,14878,367
I,14880,31724
B,14883,347
R,14885,24225
B,14887,301
I,14890,31696
B,14892,420
R,14894,24366
B,14897,334
I,14899,31688
B,14902,355
R,14904,24251
B,14906,320
I,14909,31756
B,14911,414
R,14913,24340
B,14916,318
I,14918,31607
B,14920,348
R,14923,24275
B,14925,365
I,14928,31758
B,14930,391
R,14932,24304
B,14935,305
I,14937,31655
B,14939,363
R,14942,24316
B,14944,369
I,14947,31692
B,14949,357
R,14951,24171
B,14954,303
I,14956,31690
B,14958,412
R,14961,24332
B,14963,337
I,14965,31677
B,14968,354
R,14970,24215
B,14973,318
I,14975,31742
B,14977,415
R,14980,24304
B,14982,314
I,14984,31654
B,14987,354
R,14989,24250
B,14992,367
I,14994,31777
B,14996,393
R,14999,24284
B,15001,296
I,15003,31668
B,15006,360
R,15008,24360
B,15011,374
I,15013,31776
B,15015,358
R,15018,24248
B,15020,307
I,15022,31705
B,15025,404
R,15027,24366
B,15029,340
I,15032,31734
B,15034,343
R,15037,24239
B,15039,308
I,15041,31763
B,15044,426
R,15046,24360
B,15048,312
I,15051,31695
B,15053,351
R,15056,24270
B,15058,358
I,15060,31807
B,15063,387
R,15065,24325
B,15067,295
I,15070,31699
B,15072,350
R,15074,24376
B,15077,375
I,15079,31778
B,15082,370
R,15084,24241
B,15086,302
I,15089,31737
B,15091,399
R,15093,24354
B,15096,346
I,15098,31768
B,15101,351
R,15103,24254
B,15105,304
I,15108,31831
B,15110,423
R,15112,24325
B,15115,321
I,15117,31743
B,15120,348
R,15122,24306
B,15124,355
I,15127,31867
B,15129,392
R,15131,24323
B,15134,302
I,15136,31747
B,15138,348
R,15141,24336
B,15143,373
I,15146,31822
B,15148,374
R,15150,24306
B,15153,305
I,15155,31764
B,15157,395
R,15160,24396
B,15162,346
I,15165,31810
B,15167,350
R,15169,24299
B,15172,300
I,15174,31829
B,15176,423
R,15179,24383
B,15181,324
I,15183,31751
B,15186,354
R,15188,24318
B,15191,342
I,15193,31871
B,15195,397
R,15198,24351
B,15200,302
I,15202,31753
B,15205,352
R,15207,24348
B,15210,375
I,15212,31868
B,15214,384
R,15217,24311
B,15219,302
I,15221,31779
B,15224,387
R,15226,24371
B,15228,353
I,15231,31809
B,15233,349
R,15236,24261
B,15238,297
I,15240,31838
B,15243,420
R,15245,24367
B,15247,329
I,15250,31779
B,15252,346
R,15255,24276
B,15257,331
I,15259,31871
B,15262,404
R,15264,24340
B,15266,303
I,15269,31781
B,15271,347
R,15273,24322
B,15276,374
I,15278,31869
B,15281,383
R,15283,24331
B,15285,304
I,15288,31779
B,15290,372
R,15292,24405
B,15295,355
I,15297,31845
B,15300,347
R,15302,24274
B,15304,296
I,15307,31836
B,15309,423
R,15311,24360
B,15314,334
I,15316,31823
B,15318,352
R,15321,24307
B,15323,326
I,15326,31896
B,15328,412
R,15330,24362
B,15333,303
I,15335,31788
B,15337,350
R,15340,24308
B,15342,365
I,15345,31876
B,15347,381
R,15349,24315
B,15352,301
I,15354,31817
B,15356,370
R,15359,24416
B,15361,361
I,15364,31887
B,15366,356
R,15368,24316
B,15371,301
I,15373,31879
B,15375,417
R,15378,24414
B,15380,336
I,15382,31857
B,15385,349
R,15387,24331
B,15390,316
I,15392,31953
B,15394,409
R,15397,24397
B,15399,312
I,15401,31853
B,15404,350
R,15406,24325
B,15409,362
I,15411,31959
B,15413,385
R,15416,24344
B,15418,298
I,15420,31796
B,15423,362
R,15425,24379
B,15427,365
I,15430,31895
B,15432,362
R,15435,24266
B,15437,298
I,15439,31825
B,15442,413
R,15444,24321
B,15446,342
I,15449,31776
B,15451,348
R,15454,24240
B,15456,310
I,15458,31797
B,15461,416
R,15463,24306
B,15465,313
I,15468,31696
B,15470,348
R,15472,24238
B,15475,359
I,15477,31729
B,15480,388
R,15482,24233
B,15484,299
I,15487,31563
B,15489,361
R,15491,24221
B,15494,374
I,15496,31641
B,15499,369
R,15501,24168
B,15503,303
I,15506,31593
B,15508,403
R,15510,24267
B,15513,338
I,15515,31606
B,15518,348
R,15520,24113
B,15522,306
I,15525,31659
B,15527,425
R,15529,24197
B,15532,318
I,15534,31562
B,15536,342
R,15539,24156
B,15541,354
I,15544,31653
B,15546,388
R,15548,24202
B,15551,303
I,15553,31558
B,15555,349
R,15558,24218
B,15560,374
I,15563,31614
B,15565,367
R,15567,24158
B,15570,310
I,15572,31574
B,15574,403
R,15577,24278
B,15579,350
I,15581,31609
B,15584,349
R,15586,24149
B,15589,312
I,15591,31631
B,15593,420
R,15596,24243
B,15598,325
I,15600,31575
B,15603,347
R,15605,24201
B,15608,344
I,15610,31698
B,15612,400
R,15615,24214
B,15617,303
I,15619,31551
B,15622,351
R,15624,24233
B,15627,375
I,15629,31654
B,15631,371
R,15634,24192
B,15636,301
I,15638,31575
B,15641,393
R,15643,24280
B,15645,358
I,15648,31648
B,15650,348
R,15653,24155
B,15655,303
I,15657,31667
B,15660,431
R,15662,24234
B,15664,326
I,15667,31607
B,15669,351
R,15672,24172
B,15674,343
I,15676,31708
B,15679,395
R,15681,24218
B,15683,309
I,15686,31570
B,15688,351
R,15690,24224
B,15693,370
I,15695,31641
B,15698,379
R,15700,24168
B,15702,308
I,15705,31577
B,15707,386
R,15709,24261
B,15712,358
I,15714,31656
B,15717,351
R,15719,24136
B,15721,303
I,15724,31633
B,15726,426
R,15728,24263
B,15731,330
I,15733,31611
B,15736,347
R,15738,24181
B,15740,335
I,15743,31655
B,15745,403
R,15747,24217
B,15750,304
I,15752,31571
B,15754,345
R,15757,24206
B,15759,370
I,15762,31680
B,15764,384
R,15766,24198
B,15769,302
I,15771,31594
B,15773,382
R,15776,24250
B,15778,357
I,15781,31630
B,15783,352
R,15785,24137
B,15788,295
I,15790,31620
B,15792,422
R,15795,24246
B,15797,337
I,15799,31594
B,15802,351
R,15804,24142
B,15807,330
I,15809,31668
B,15811,410
R,15814,24236
B,15816,302
I,15818,31574
B,15821,349
R,15823,24200
B,15826,368
I,15828,31682
B,15830,387
R,15833,24189
B,15835,301
I,15837,31599
B,15840,370
R,15842,24290
B,15844,368
I,15847,31679
B,15849,351
R,15852,24151
B,15854,301
I,15856,31645
B,15859,404
R,15861,24248
B,15863,333
I,15866,31628
B,15868,345
R,15871,24146
B,15873,320
I,15875,31705
B,15878,419
R,15880,24238
B,15882,311
I,15885,31647
B,15887,348
R,15889,24232
B,15892,364
I,15894,31722
B,15897,393
R,15899,24222
B,15901,306
I,15904,31609
B,15906,361
R,15908,24282
B,15911,375
I,15913,31709
B,15916,367
R,15918,24158
B,15920,303
I,15923,31689
B,15925,405
R,15927,24275
B,15930,339
I,15932,31720
B,15934,344
R,15937,24170
B,15939,312
I,15942,31736
B,15944,421
R,15946,24231
B,15949,314
I,15951,31632
B,15953,349
R,15956,24236
B,15958,358
I,15961,31769
B,15963,390
R,15965,24251
B,15968,302
I,15970,31624
B,15972,353
R,15975,24283
B,15977,375
I,15979,31756
B,15982,358
R,15984,24222
B,15987,304
I,15989,31700
B,15991,407
R,15994,24279
B,15996,351
I,15998,31708
B,16001,355
R,16003,24184
B,16006,308
I,16008,31747
B,16010,423
R,16013,24283
B,16015,315
I,16017,31711
B,16020,352
R,16022,24176
B,16025,353
I,16027,31815
B,16029,391
R,16032,24205
B,16034,304
I,16036,31673
B,16039,353
R,16041,24241
B,16043,381
I,16046,31767
B,16048,369
R,16051,24200
B,16053,305
I,16055,31726
B,16058,401
R,16060,24265
B,16062,347
I,16065,31740
B,16067,347
R,16070,24162
B,16072,310
I,16074,31774
B,16077,429
R,16079,24292
B,16081,327
I,16084,31733
B,16086,346
R,16088,24207
B,16091,349
I,16093,31821
B,16096,396
R,16098,24256
B,16100,306
I,16103,31696
B,16105,352
R,16107,24269
B,16110,378
I,16112,31810
B,16115,382
R,16117,24240
B,16119,299
I,16122,31721
B,16124,400
R,16126,24321
B,16129,353
I,16131,31781
B,16134,356
R,16136,24198
B,16138,306
I,16141,31789
B,16143,424
R,16145,24306
B,16148,334
I,16150,31745
B,16152,347
R,16155,24222
B,16157,334
I,16160,31874
B,16162,402
R,16164,24261
B,16167,304
I,16169,31716
B,16171,352
R,16174,24284
B,16176,377
I,16179,31844
B,16181,381
R,16183,24202
B,16186,303
I,16188,31722
B,16190,384
R,16193,24278
B,16195,358
I,16197,31774
B,16200,358
R,16202,24161
B,16205,302
I,16207,31723
B,16209,424
R,16212,24252
B,16214,333
I,16216,31651
B,16219,348
R,16221,24153
B,16224,339
I,16226,31704
B,16228,407
R,16231,24198
B,16233,300
I,16235,31525
B,16238,344
R,16240,24156
B,16242,375
I,16245,31617
B,16247,385
R,16250,24142
B,16252,305
I,16254,31500
B,16257,373
R,16259,24182
B,16261,364
I,16264,31537
B,16266,353
R,16269,24086
B,16271,304
I,16273,31504
B,16276,414
R,16278,24167
B,16280,334
I,16283,31478
B,16285,351
R,16287,24051
B,16290,322
I,16292,31544
B,16295,418
R,16297,24161
B,16299,311
I,16302,31446
B,16304,345
R,16306,24089
B,16309,371
I,16311,31567
B,16314,390
R,16316,24090
B,16318,302
I,16321,31448
B,16323,374
R,16325,24183
B,16328,369
I,16330,31478
B,16332,359
R,16335,24044
B,16337,298
I,16340,31468
B,16342,410
R,16344,24158
B,16347,336
I,16349,31497
B,16351,350
R,16354,24062
B,16356,317
I,16359,31527
B,16361,421
R,16363,24103
B,16366,316
I,16368,31424
B,16370,346
R,16373,24045
B,16375,361
I,16378,31530
B,16380,391
R,16382,24118
B,16385,300
I,16387,31429
B,16389,359
R,16392,24150
B,16394,378
I,16396,31502
B,16399,367
R,16401,24052
B,16404,306
I,16406,31463
B,16408,414
R,16411,24139
B,16413,354
I,16415,31458
B,16418,358
R,16420,24030
B,16423,309
I,16425,31502
B,16427,419
R,16430,24125
B,16432,319
I,16434,31434
B,16437,345
R,16439,24074
B,16441,362
I,16444,31535
B,16446,390
R,16449,24093
B,16451,308
I,16453,31402
B,16456,360
R,16458,24163
B,16460,375
I,16463,31516
B,16465,367
R,16468,24055
B,16470,304
I,16472,31469
B,16475,405
R,16477,24169
B,16479,340
I,16482,31517
B,16484,349
R,16486,24027
B,16489,303
I,16491,31497
B,16494,424
R,16496,24122
B,16498,326
I,16501,31441
B,16503,351
R,16505,24083
B,16508,356
I,16510,31564
B,16513,390
R,16515,24102
B,16517,308
I,16520,31402
B,16522,355
R,16524,24093
B,16527,379
I,16529,31484
B,16532,373
R,16534,24075
B,16536,311
I,16539,31426
B,16541,401
R,16543,24159
B,16546,348
I,16548,31488
B,16550,348
R,16553,23993
B,16555,305
I,16558,31504
B,16560,423
R,16562,24118
B,16565,332
I,16567,31452
B,16569,348
R,16572,24048
B,16574,346
I,16577,31519
B,16579,385
R,16581,24101
B,16584,301
I,16586,31381
B,16588,351
R,16591,24128
B,16593,379
I,16595,31483
B,16598,376
R,16600,24052
B,16603,304
I,16605,31426
B,16607,388
R,16610,24163
B,16612,348
I,16614,31459
B,16617,352
R,16619,24033
B,16622,305
I,16624,31496
B,16626,427
R,16629,24119
B,16631,331
I,16633,31420
B,16636,352
R,16638,24034
B,16641,339
I,16643,31555
B,16645,410
R,16648,24124
B,16650,307
I,16652,31429
B,16655,353
R,16657,24099
B,16659,377
I,16662,31554
B,16664,384
R,16667,24077
B,16669,308
I,16671,31440
B,16674,386
R,16676,24193
B,16678,365
I,16681,31539
B,16683,352
R,16686,24050
B,16688,304
I,16690,31510
B,16693,412
R,16695,24142
B,16697,332
I,16700,31495
B,16702,347
R,16704,24068
B,16707,332
I,16709,31567
B,16712,404
R,16714,24125
B,16716,309
I,16719,31459
B,16721,348
R,16723,24125
B,16726,375
I,16728,31636
B,16731,383
R,16733,24141
B,16735,306
I,16738,31472
B,16740,376
R,16742,24171
B,16745,365
I,16747,31580
B,16750,356
R,16752,24087
B,16754,305
I,16757,31563
B,16759,419
R,16761,24219
B,16764,340
I,16766,31571
B,16768,352
R,16771,24095
B,16773,318
I,16776,31638
B,16778,417
R,16780,24191
B,16783,307
I,16785,31504
B,16787,351
R,16790,24143
B,16792,364
I,16795,31638
B,16797,386
R,16799,24137
B,16802,305
I,16804,31541
B,16806,368
R,16809,24173
B,16811,367
I,16813,31630
B,16816,357
R,16818,24095
B,16821,302
I,16823,31611
B,16825,414
R,16828,24205
B,16830,338
I,16832,31636
B,16835,350
R,16837,24100
B,16840,314
I,16842,31647
B,16844,425
R,16847,24142
B,16849,314
I,16851,31539
B,16854,351
R,16856,24140
B,16858,361
I,16861,31669
B,16863,384
R,16866,24167
B,16868,308
I,16870,31555
B,16873,362
R,16875,24191
B,16877,371
I,16880,31658
B,16882,365
R,16885,24101
B,16887,301
I,16889,31623
B,16892,406
R,16894,24233
B,16896,342
I,16899,31668
B,16901,348
R,16903,24099
B,16906,310
I,16908,31667
B,16911,420
R,16913,24203
B,16915,321
I,16918,31628
B,16920,347
R,16922,24167
B,16925,352
I,16927,31701
B,16930,402
R,16932,24180
B,16934,305
I,16937,31596
B,16939,357
R,16941,24201
B,16944,372
I,16946,31680
B,16948,367
R,16951,24154
B,16953,301
I,16956,31658
B,16958,404
R,16960,24242
B,16963,348
I,16965,31663
B,16967,355
